,연령,소득구간,월소득(만원),소비비율,저축/투자비율,부채상환비율,소비액,저축/투자액,부채상환액,적금/청약비율,연금저축(투자상품)비율,적금/청약액,연금저축(투자상품)액,외식/카페 비율,주유/교통 비율,통신비 비율,항공/여행 비율,문화/교육 비율,쇼핑 비율,주택청약가입,연금저축가입
1989,20,2,200,0.442,0.324,0.055,88,65,11,0.212,0.089,42,18,0.089,0.073,0.053,0.098,0.109,0.083,0,1
1991,27,2,178,0.516,0.285,0.057,92,51,10,0.194,0.075,35,13,0.099,0.073,0.058,0.106,0.089,0.093,0,1
1997,27,2,175,0.486,0.296,0.052,85,52,9,0.213,0.082,37,14,0.089,0.066,0.053,0.106,0.099,0.093,0,1
2001,21,2,181,0.493,0.278,0.057,89,50,10,0.211,0.072,38,13,0.099,0.06,0.053,0.098,0.099,0.083,1,1
2011,20,2,174,0.456,0.306,0.049,79,53,9,0.228,0.091,40,16,0.089,0.06,0.053,0.116,0.099,0.102,0,1
2013,25,2,177,0.517,0.304,0.048,92,54,8,0.214,0.079,38,14,0.089,0.066,0.053,0.106,0.109,0.093,1,1
2015,26,2,188,0.507,0.275,0.052,95,52,10,0.205,0.073,39,14,0.099,0.066,0.058,0.106,0.099,0.093,1,1
2016,27,2,185,0.512,0.324,0.052,95,60,10,0.214,0.1,40,18,0.109,0.066,0.058,0.106,0.109,0.093,1,1
2021,26,2,193,0.489,0.282,0.055,94,54,11,0.202,0.081,39,16,0.089,0.066,0.053,0.098,0.089,0.083,1,1
2023,28,2,174,0.457,0.325,0.05,80,57,9,0.226,0.092,39,16,0.099,0.066,0.048,0.106,0.089,0.093,0,1
2024,26,2,188,0.45,0.296,0.05,85,56,9,0.228,0.078,43,15,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2031,27,2,193,0.488,0.28,0.055,94,54,11,0.212,0.074,41,14,0.089,0.06,0.058,0.106,0.099,0.093,1,1
2034,24,2,195,0.465,0.322,0.048,91,63,9,0.24,0.096,47,19,0.089,0.066,0.048,0.106,0.109,0.093,1,1
2040,24,2,204,0.439,0.275,0.047,90,56,10,0.206,0.073,42,15,0.089,0.066,0.048,0.106,0.089,0.093,0,1
2044,23,2,205,0.486,0.273,0.047,100,56,10,0.21,0.069,43,14,0.099,0.073,0.058,0.106,0.089,0.093,1,1
2047,22,2,199,0.469,0.275,0.056,93,55,11,0.191,0.076,38,15,0.109,0.066,0.048,0.116,0.089,0.102,1,1
2052,28,2,178,0.505,0.311,0.048,90,55,9,0.215,0.09,38,16,0.109,0.066,0.053,0.116,0.109,0.102,0,1
2054,25,2,204,0.458,0.29,0.049,93,59,10,0.225,0.082,46,17,0.109,0.066,0.048,0.098,0.099,0.083,1,1
2055,26,2,197,0.481,0.292,0.057,95,58,11,0.213,0.082,42,16,0.099,0.066,0.053,0.106,0.109,0.093,1,1
2058,22,2,197,0.483,0.3,0.053,95,59,10,0.234,0.082,46,16,0.099,0.066,0.053,0.098,0.099,0.083,1,1
2064,27,2,174,0.509,0.324,0.054,89,56,9,0.224,0.082,39,14,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2067,21,2,182,0.473,0.323,0.054,86,59,10,0.237,0.082,43,15,0.089,0.066,0.058,0.098,0.089,0.083,1,1
2069,22,2,185,0.466,0.292,0.047,86,54,9,0.217,0.083,40,15,0.099,0.066,0.053,0.106,0.099,0.093,0,1
2073,23,2,205,0.448,0.316,0.054,92,65,11,0.21,0.087,43,18,0.099,0.073,0.053,0.098,0.089,0.083,1,1
2075,28,2,205,0.494,0.275,0.057,101,56,12,0.183,0.069,38,14,0.089,0.066,0.048,0.106,0.089,0.093,1,1
2077,28,2,189,0.522,0.301,0.049,99,57,9,0.206,0.076,39,14,0.089,0.073,0.053,0.106,0.099,0.093,0,0
2080,20,2,173,0.522,0.274,0.052,90,47,9,0.198,0.07,34,12,0.099,0.066,0.058,0.106,0.109,0.093,0,0
2085,21,2,191,0.487,0.305,0.054,93,58,10,0.205,0.094,39,18,0.099,0.066,0.053,0.116,0.099,0.102,1,1
2088,22,2,203,0.515,0.298,0.057,105,60,12,0.218,0.089,44,18,0.099,0.066,0.053,0.106,0.109,0.093,0,1
2090,28,2,202,0.468,0.324,0.047,95,65,9,0.229,0.094,46,19,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2095,21,2,202,0.489,0.32,0.051,99,65,10,0.242,0.096,49,19,0.109,0.073,0.053,0.106,0.089,0.093,0,1
2102,23,2,178,0.47,0.29,0.052,84,52,9,0.192,0.081,34,14,0.089,0.073,0.058,0.098,0.099,0.083,0,1
2103,24,2,198,0.512,0.29,0.052,101,57,10,0.212,0.082,42,16,0.089,0.066,0.053,0.098,0.099,0.083,0,1
2105,25,2,184,0.524,0.311,0.053,96,57,10,0.206,0.089,38,16,0.099,0.06,0.048,0.106,0.109,0.093,1,1
2107,24,2,207,0.483,0.301,0.051,100,62,11,0.223,0.09,46,19,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2114,21,2,197,0.497,0.317,0.051,98,62,10,0.227,0.083,45,16,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2116,21,2,189,0.491,0.311,0.047,93,59,9,0.218,0.094,41,18,0.099,0.066,0.053,0.106,0.109,0.093,1,1
2123,23,2,188,0.514,0.308,0.05,97,58,9,0.211,0.08,40,15,0.089,0.066,0.053,0.116,0.089,0.102,0,1
2128,23,2,206,0.478,0.306,0.053,98,63,11,0.242,0.085,50,18,0.099,0.066,0.053,0.116,0.099,0.102,1,1
2129,21,2,188,0.505,0.285,0.053,95,54,10,0.199,0.078,37,15,0.089,0.06,0.058,0.106,0.099,0.093,1,1
2131,29,2,172,0.501,0.327,0.05,86,56,9,0.231,0.089,40,15,0.089,0.073,0.053,0.098,0.099,0.083,1,1
2132,20,2,193,0.482,0.288,0.051,93,56,10,0.214,0.08,41,15,0.099,0.066,0.053,0.098,0.099,0.083,0,1
2134,21,2,199,0.453,0.32,0.047,90,64,9,0.245,0.097,49,19,0.089,0.073,0.053,0.098,0.089,0.083,1,1
2135,27,2,206,0.519,0.288,0.05,107,59,10,0.214,0.088,44,18,0.099,0.066,0.053,0.106,0.109,0.093,0,1
2139,23,2,205,0.522,0.314,0.052,107,64,11,0.209,0.086,43,18,0.089,0.06,0.053,0.106,0.109,0.093,0,1
2140,23,2,203,0.529,0.296,0.047,107,60,10,0.199,0.087,40,18,0.089,0.06,0.048,0.106,0.099,0.093,1,1
2145,21,2,203,0.488,0.301,0.048,99,61,10,0.219,0.077,44,16,0.089,0.073,0.053,0.106,0.099,0.093,1,0
2150,20,2,185,0.515,0.328,0.051,95,61,9,0.216,0.1,40,18,0.099,0.066,0.058,0.098,0.089,0.083,1,0
2157,23,2,185,0.513,0.307,0.057,95,57,11,0.242,0.08,45,15,0.089,0.066,0.048,0.116,0.099,0.102,1,0
2158,27,2,189,0.503,0.323,0.052,95,61,10,0.243,0.082,46,15,0.109,0.06,0.053,0.106,0.099,0.093,1,0
2160,27,2,197,0.491,0.297,0.053,97,59,10,0.217,0.09,43,18,0.089,0.06,0.053,0.098,0.099,0.083,1,1
2168,28,2,198,0.442,0.316,0.055,88,63,11,0.232,0.096,46,19,0.099,0.066,0.053,0.106,0.109,0.093,1,1
2175,21,2,204,0.53,0.27,0.055,108,55,11,0.206,0.077,42,16,0.109,0.06,0.058,0.098,0.099,0.083,1,1
2176,23,2,183,0.469,0.318,0.053,86,58,10,0.225,0.097,41,18,0.099,0.06,0.053,0.098,0.099,0.083,1,1
2178,20,2,198,0.441,0.283,0.054,87,56,11,0.192,0.081,38,16,0.089,0.066,0.053,0.098,0.099,0.083,0,1
2181,21,2,180,0.46,0.298,0.048,83,54,9,0.226,0.084,41,15,0.099,0.06,0.048,0.098,0.099,0.083,1,1
2187,21,2,201,0.465,0.279,0.053,93,56,11,0.201,0.078,40,16,0.099,0.066,0.053,0.106,0.089,0.093,1,1
2192,23,2,198,0.522,0.284,0.051,103,56,10,0.22,0.08,44,16,0.099,0.066,0.053,0.098,0.099,0.083,0,1
2199,28,2,186,0.458,0.323,0.053,85,60,10,0.217,0.084,40,16,0.099,0.066,0.058,0.106,0.089,0.093,1,1
2201,25,2,176,0.512,0.299,0.048,90,53,8,0.204,0.081,36,14,0.099,0.066,0.053,0.106,0.109,0.093,0,1
2206,25,2,183,0.482,0.311,0.048,88,57,9,0.232,0.089,42,16,0.089,0.073,0.053,0.098,0.099,0.083,1,1
2207,26,2,205,0.473,0.297,0.052,97,61,11,0.21,0.083,43,17,0.099,0.066,0.048,0.106,0.099,0.093,1,1
2208,22,2,183,0.513,0.278,0.055,94,51,10,0.197,0.07,36,13,0.089,0.066,0.048,0.098,0.109,0.083,1,1
2209,27,2,207,0.501,0.301,0.054,104,62,11,0.21,0.079,43,16,0.109,0.06,0.053,0.098,0.109,0.083,1,1
2211,23,2,203,0.484,0.306,0.05,98,62,10,0.225,0.09,46,18,0.089,0.066,0.053,0.098,0.109,0.083,1,1
2213,23,2,209,0.477,0.313,0.055,100,65,11,0.214,0.081,45,17,0.089,0.06,0.048,0.106,0.109,0.093,1,1
2214,24,2,200,0.481,0.322,0.05,96,64,10,0.217,0.095,43,19,0.089,0.06,0.048,0.106,0.089,0.093,1,1
2215,23,2,184,0.473,0.322,0.056,87,59,10,0.24,0.091,44,17,0.089,0.073,0.053,0.106,0.099,0.093,0,1
2216,22,2,204,0.5,0.319,0.048,102,65,10,0.229,0.097,47,20,0.099,0.06,0.048,0.106,0.089,0.093,1,1
2226,23,2,183,0.487,0.3,0.054,89,55,10,0.23,0.089,42,16,0.099,0.06,0.053,0.098,0.099,0.083,0,1
2231,23,2,174,0.511,0.302,0.055,89,53,10,0.239,0.078,42,14,0.089,0.073,0.053,0.116,0.099,0.102,1,0
2235,21,2,195,0.513,0.324,0.052,100,63,10,0.252,0.1,49,20,0.089,0.066,0.053,0.106,0.099,0.093,1,1
2236,20,2,206,0.498,0.322,0.048,103,66,10,0.218,0.088,45,18,0.109,0.066,0.048,0.098,0.099,0.083,1,1
2238,20,2,175,0.516,0.293,0.048,90,51,8,0.208,0.08,36,14,0.099,0.073,0.048,0.106,0.099,0.093,0,1
2242,24,2,194,0.466,0.274,0.057,90,53,11,0.186,0.08,36,16,0.099,0.066,0.053,0.098,0.099,0.083,0,1
2258,20,2,184,0.475,0.285,0.054,87,52,10,0.206,0.086,38,16,0.089,0.06,0.048,0.098,0.099,0.083,1,1
2264,20,2,195,0.472,0.287,0.052,92,56,10,0.21,0.075,41,15,0.099,0.066,0.053,0.106,0.109,0.093,0,1
2266,24,2,195,0.443,0.3,0.047,86,58,9,0.205,0.081,40,16,0.089,0.066,0.053,0.106,0.089,0.093,0,1
2271,29,2,187,0.51,0.297,0.048,95,56,9,0.202,0.08,38,15,0.109,0.066,0.058,0.098,0.099,0.083,0,1
2277,24,2,191,0.442,0.299,0.056,84,57,11,0.214,0.085,41,16,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2278,26,2,196,0.521,0.278,0.051,102,54,10,0.207,0.081,41,16,0.099,0.066,0.053,0.106,0.109,0.093,1,1
2282,26,2,190,0.474,0.295,0.053,90,56,10,0.201,0.089,38,17,0.099,0.06,0.053,0.106,0.099,0.093,1,1
2285,22,2,182,0.465,0.306,0.05,85,56,9,0.22,0.089,40,16,0.099,0.066,0.053,0.116,0.109,0.102,0,1
2290,21,2,195,0.482,0.273,0.053,94,53,10,0.214,0.073,42,14,0.099,0.06,0.053,0.098,0.099,0.083,1,1
2291,27,2,183,0.467,0.319,0.051,85,58,9,0.243,0.094,44,17,0.099,0.073,0.053,0.106,0.109,0.093,1,1
2294,23,2,172,0.465,0.296,0.057,80,51,10,0.22,0.087,38,15,0.099,0.066,0.053,0.116,0.089,0.102,1,1
2300,22,2,203,0.456,0.28,0.047,93,57,10,0.189,0.083,38,17,0.099,0.066,0.053,0.116,0.109,0.102,0,0
2302,20,2,191,0.456,0.316,0.056,87,60,11,0.239,0.095,46,18,0.109,0.066,0.058,0.116,0.099,0.102,0,0
2303,20,2,183,0.48,0.293,0.057,88,54,10,0.226,0.077,41,14,0.099,0.066,0.053,0.106,0.099,0.093,0,1
2306,20,2,175,0.493,0.293,0.057,86,51,10,0.21,0.076,37,13,0.099,0.066,0.053,0.106,0.109,0.093,1,1
2313,28,2,199,0.464,0.317,0.056,92,63,11,0.221,0.089,44,18,0.099,0.06,0.048,0.106,0.099,0.093,1,1
2319,20,2,188,0.499,0.31,0.057,94,58,11,0.234,0.092,44,17,0.099,0.073,0.053,0.116,0.099,0.102,0,1
2320,25,2,207,0.485,0.292,0.057,100,60,12,0.229,0.079,47,16,0.089,0.066,0.053,0.106,0.109,0.093,0,1
2323,23,2,184,0.479,0.28,0.053,88,52,10,0.209,0.074,38,14,0.109,0.066,0.053,0.106,0.099,0.093,0,1
2329,22,2,174,0.479,0.278,0.047,83,48,8,0.188,0.081,33,14,0.109,0.066,0.053,0.098,0.089,0.083,1,1
2332,21,2,195,0.498,0.323,0.05,97,63,10,0.248,0.094,48,18,0.099,0.06,0.048,0.116,0.089,0.102,0,1
2335,26,2,187,0.47,0.3,0.047,88,56,9,0.21,0.09,39,17,0.099,0.073,0.053,0.106,0.089,0.093,1,1
2336,24,2,189,0.457,0.281,0.049,86,53,9,0.211,0.073,40,14,0.109,0.06,0.048,0.098,0.099,0.083,1,1
2338,24,2,177,0.482,0.32,0.049,85,57,9,0.21,0.098,37,17,0.099,0.073,0.053,0.098,0.099,0.083,1,1
2339,22,2,188,0.441,0.289,0.055,83,54,10,0.216,0.083,41,16,0.099,0.066,0.053,0.098,0.089,0.083,0,1
2341,20,2,175,0.51,0.304,0.052,89,53,9,0.238,0.082,42,14,0.089,0.066,0.048,0.106,0.099,0.093,0,1
2344,26,2,208,0.49,0.303,0.051,102,63,11,0.22,0.093,46,19,0.099,0.06,0.053,0.106,0.099,0.093,1,1
2354,21,2,200,0.499,0.315,0.048,100,63,10,0.241,0.091,48,18,0.089,0.066,0.058,0.106,0.099,0.093,1,1
2357,24,2,174,0.475,0.305,0.048,83,53,8,0.22,0.082,38,14,0.099,0.06,0.058,0.116,0.099,0.102,1,1
2358,26,2,192,0.482,0.279,0.053,93,54,10,0.205,0.086,39,17,0.099,0.066,0.053,0.098,0.109,0.083,1,1
2370,21,2,197,0.503,0.323,0.051,99,64,10,0.243,0.083,48,16,0.109,0.066,0.048,0.116,0.099,0.102,0,1
2372,22,2,198,0.511,0.272,0.054,101,54,11,0.185,0.069,37,14,0.089,0.066,0.053,0.116,0.109,0.102,1,1
2378,21,2,189,0.481,0.312,0.056,91,59,11,0.203,0.092,38,17,0.089,0.066,0.053,0.098,0.099,0.083,1,1
2383,24,2,188,0.493,0.314,0.048,93,59,9,0.242,0.081,45,15,0.099,0.066,0.058,0.106,0.089,0.093,0,0
2384,22,2,184,0.527,0.321,0.05,97,59,9,0.241,0.087,44,16,0.109,0.066,0.053,0.106,0.109,0.093,1,1
2387,22,2,195,0.473,0.306,0.054,92,60,11,0.213,0.091,42,18,0.099,0.06,0.053,0.106,0.089,0.093,1,1
2388,21,2,199,0.502,0.271,0.056,100,54,11,0.176,0.073,35,15,0.089,0.06,0.048,0.106,0.109,0.093,1,1
2407,21,2,180,0.457,0.276,0.05,82,50,9,0.209,0.084,38,15,0.109,0.06,0.058,0.098,0.099,0.083,1,1
2410,23,2,198,0.435,0.295,0.047,86,58,9,0.203,0.079,40,16,0.099,0.06,0.048,0.106,0.099,0.093,1,1
2415,23,2,209,0.438,0.308,0.056,92,64,12,0.235,0.09,49,19,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2417,20,2,173,0.522,0.284,0.056,90,49,10,0.206,0.073,36,13,0.099,0.066,0.048,0.106,0.099,0.093,0,1
2418,25,2,173,0.465,0.301,0.047,80,52,8,0.211,0.083,37,14,0.099,0.066,0.048,0.106,0.099,0.093,1,1
2423,27,2,189,0.468,0.287,0.057,88,54,11,0.225,0.075,43,14,0.099,0.066,0.053,0.106,0.099,0.093,1,0
2429,22,2,206,0.461,0.325,0.056,95,67,12,0.254,0.098,52,20,0.099,0.066,0.058,0.106,0.099,0.093,0,1
2430,22,2,195,0.503,0.273,0.048,98,53,9,0.202,0.081,39,16,0.109,0.066,0.053,0.116,0.099,0.102,1,0
2436,20,2,187,0.51,0.27,0.057,95,50,11,0.183,0.072,34,13,0.089,0.06,0.053,0.098,0.109,0.083,1,1
2437,27,2,185,0.485,0.286,0.051,90,53,9,0.198,0.082,37,15,0.109,0.066,0.058,0.098,0.089,0.083,1,1
2444,22,2,189,0.525,0.299,0.05,99,57,9,0.195,0.087,37,16,0.099,0.066,0.053,0.106,0.089,0.093,1,1
2453,20,2,185,0.518,0.31,0.052,96,57,10,0.244,0.082,45,15,0.099,0.066,0.058,0.116,0.099,0.102,1,1
2460,22,2,210,0.475,0.279,0.057,100,59,12,0.219,0.082,46,17,0.099,0.066,0.048,0.116,0.089,0.102,0,0
2463,20,2,194,0.475,0.307,0.047,92,60,9,0.22,0.081,43,16,0.099,0.06,0.048,0.106,0.099,0.093,0,1
2468,26,2,190,0.469,0.281,0.054,89,53,10,0.219,0.08,42,15,0.089,0.073,0.053,0.106,0.109,0.093,0,1
2470,24,2,181,0.475,0.295,0.049,86,53,9,0.206,0.081,37,15,0.099,0.073,0.058,0.106,0.109,0.093,1,1
2473,20,2,199,0.503,0.28,0.054,100,56,11,0.207,0.082,41,16,0.109,0.066,0.048,0.098,0.099,0.083,1,1
2474,23,2,192,0.471,0.293,0.052,90,56,10,0.224,0.088,43,17,0.089,0.066,0.053,0.106,0.109,0.093,0,1
2482,26,2,208,0.488,0.283,0.054,102,59,11,0.203,0.075,42,16,0.099,0.066,0.048,0.106,0.109,0.093,1,1
2483,23,2,178,0.445,0.3,0.051,79,53,9,0.236,0.088,42,16,0.099,0.066,0.058,0.106,0.099,0.093,1,1
2485,29,2,209,0.53,0.304,0.051,111,64,11,0.218,0.092,46,19,0.109,0.066,0.053,0.106,0.089,0.093,1,1
2491,26,2,180,0.483,0.292,0.052,87,53,9,0.217,0.087,39,16,0.089,0.06,0.058,0.116,0.109,0.102,1,1
2493,27,2,187,0.477,0.289,0.048,89,54,9,0.218,0.082,41,15,0.089,0.073,0.048,0.116,0.099,0.102,0,1
2499,20,2,187,0.516,0.281,0.054,96,53,10,0.215,0.08,40,15,0.109,0.066,0.053,0.116,0.089,0.102,1,1
2500,24,2,204,0.486,0.318,0.048,99,65,10,0.224,0.089,46,18,0.099,0.06,0.048,0.098,0.099,0.083,1,1
2501,24,2,201,0.446,0.301,0.057,90,61,11,0.232,0.082,47,16,0.109,0.06,0.053,0.116,0.109,0.102,1,1
2504,21,2,180,0.436,0.275,0.053,78,50,10,0.185,0.076,33,14,0.099,0.06,0.058,0.098,0.099,0.083,1,1
2509,20,2,206,0.487,0.306,0.049,100,63,10,0.223,0.092,46,19,0.099,0.066,0.053,0.098,0.099,0.083,1,1
2512,22,2,189,0.51,0.289,0.051,96,55,10,0.226,0.081,43,15,0.099,0.073,0.048,0.098,0.099,0.083,1,0
2513,22,2,191,0.472,0.28,0.047,90,53,9,0.192,0.071,37,14,0.099,0.066,0.053,0.106,0.089,0.093,0,1
2514,22,2,196,0.491,0.327,0.049,96,64,10,0.246,0.085,48,17,0.089,0.06,0.048,0.116,0.109,0.102,1,1
2517,21,2,190,0.473,0.308,0.052,90,59,10,0.207,0.084,39,16,0.089,0.073,0.048,0.116,0.099,0.102,1,1
2520,22,2,198,0.505,0.308,0.048,100,61,10,0.233,0.088,46,17,0.099,0.073,0.053,0.106,0.099,0.093,1,1
2522,22,2,183,0.522,0.271,0.055,96,50,10,0.2,0.077,37,14,0.099,0.073,0.048,0.116,0.099,0.102,0,0
2524,23,2,203,0.448,0.313,0.047,91,64,10,0.218,0.088,44,18,0.089,0.073,0.058,0.098,0.089,0.083,0,0
2527,28,2,208,0.472,0.268,0.048,98,56,10,0.191,0.077,40,16,0.109,0.073,0.048,0.098,0.099,0.083,0,1
2528,20,2,172,0.485,0.308,0.051,83,53,9,0.219,0.082,38,14,0.109,0.066,0.053,0.106,0.099,0.093,1,1
2537,20,2,177,0.451,0.322,0.051,80,57,9,0.254,0.09,45,16,0.099,0.073,0.053,0.106,0.089,0.093,1,1
2542,24,2,204,0.52,0.294,0.056,106,60,11,0.199,0.082,41,17,0.089,0.066,0.048,0.106,0.099,0.093,0,1
2552,24,2,203,0.503,0.308,0.052,102,63,11,0.214,0.079,43,16,0.099,0.06,0.058,0.098,0.099,0.083,1,1
2554,21,2,175,0.509,0.298,0.051,89,52,9,0.226,0.091,40,16,0.109,0.073,0.053,0.106,0.089,0.093,1,1
2559,21,2,191,0.527,0.273,0.047,101,52,9,0.207,0.073,40,14,0.109,0.066,0.053,0.098,0.099,0.083,1,1
2566,29,2,181,0.467,0.285,0.057,85,52,10,0.189,0.072,34,13,0.099,0.06,0.053,0.116,0.099,0.102,1,1
2570,20,2,187,0.437,0.29,0.049,82,54,9,0.212,0.075,40,14,0.099,0.073,0.058,0.106,0.099,0.093,1,1
2574,20,2,181,0.434,0.313,0.056,79,57,10,0.231,0.081,42,15,0.099,0.06,0.053,0.106,0.099,0.093,1,1
2575,20,2,196,0.447,0.274,0.051,88,54,10,0.19,0.072,37,14,0.099,0.066,0.053,0.106,0.089,0.093,0,1
2579,27,2,197,0.454,0.308,0.048,89,61,9,0.221,0.081,44,16,0.099,0.066,0.058,0.098,0.099,0.083,1,1
2581,22,2,206,0.463,0.296,0.053,95,61,11,0.206,0.082,42,17,0.089,0.06,0.053,0.106,0.109,0.093,1,1
2584,22,2,194,0.446,0.294,0.049,87,57,10,0.199,0.087,39,17,0.109,0.073,0.058,0.116,0.089,0.102,1,1
2593,27,2,192,0.484,0.295,0.047,93,57,9,0.22,0.08,42,15,0.099,0.066,0.058,0.098,0.099,0.083,1,1
2599,20,2,177,0.45,0.282,0.05,80,50,9,0.199,0.075,35,13,0.089,0.066,0.053,0.106,0.099,0.093,1,0
2600,21,2,196,0.437,0.276,0.057,86,54,11,0.191,0.085,37,17,0.099,0.06,0.053,0.106,0.089,0.093,0,1
2604,28,2,172,0.444,0.294,0.049,76,51,8,0.227,0.077,39,13,0.109,0.066,0.053,0.098,0.109,0.083,1,1
2608,24,2,199,0.477,0.319,0.057,95,63,11,0.227,0.094,45,19,0.099,0.073,0.048,0.106,0.099,0.093,0,1
2616,22,2,186,0.445,0.269,0.05,83,50,9,0.202,0.074,38,14,0.099,0.066,0.053,0.106,0.089,0.093,0,1
2626,27,2,175,0.496,0.271,0.047,87,47,8,0.203,0.07,36,12,0.109,0.066,0.048,0.106,0.099,0.093,1,1
2634,20,2,199,0.46,0.316,0.047,92,63,9,0.244,0.085,49,17,0.099,0.066,0.058,0.106,0.089,0.093,1,1
2637,21,2,201,0.474,0.3,0.047,95,60,9,0.215,0.079,43,16,0.089,0.06,0.053,0.098,0.099,0.083,0,1
2638,28,2,208,0.434,0.283,0.054,90,59,11,0.19,0.077,40,16,0.089,0.066,0.053,0.106,0.099,0.093,1,0
2642,20,2,202,0.516,0.32,0.055,104,65,11,0.229,0.093,46,19,0.099,0.066,0.053,0.116,0.109,0.102,1,1
2644,23,2,174,0.491,0.288,0.05,85,50,9,0.191,0.084,33,15,0.109,0.073,0.053,0.116,0.099,0.102,0,1
2650,26,2,180,0.525,0.272,0.053,94,49,10,0.207,0.069,37,12,0.109,0.073,0.048,0.106,0.089,0.093,1,1
2652,20,2,186,0.498,0.318,0.048,93,59,9,0.226,0.09,42,17,0.089,0.073,0.053,0.106,0.109,0.093,1,1
2654,23,2,201,0.446,0.296,0.053,90,59,11,0.23,0.089,46,18,0.099,0.06,0.048,0.106,0.109,0.093,1,0
2656,20,2,203,0.474,0.322,0.057,96,65,12,0.252,0.098,51,20,0.089,0.066,0.058,0.106,0.099,0.093,0,1
2660,22,2,190,0.453,0.281,0.054,86,53,10,0.194,0.075,37,14,0.089,0.06,0.058,0.098,0.099,0.083,1,1
2671,22,2,187,0.455,0.309,0.055,85,58,10,0.204,0.081,38,15,0.109,0.066,0.048,0.098,0.109,0.083,1,1
2676,25,2,186,0.484,0.316,0.05,90,59,9,0.218,0.089,41,17,0.109,0.066,0.053,0.116,0.089,0.102,1,0
2677,20,2,174,0.496,0.283,0.048,86,49,8,0.205,0.078,36,14,0.089,0.066,0.058,0.106,0.109,0.093,0,1
2682,23,2,172,0.502,0.27,0.056,86,46,10,0.195,0.083,34,14,0.099,0.06,0.053,0.098,0.109,0.083,1,1
2684,26,2,185,0.526,0.31,0.055,97,57,10,0.235,0.081,43,15,0.089,0.066,0.053,0.116,0.099,0.102,0,1
2690,24,2,192,0.476,0.293,0.054,91,56,10,0.199,0.082,38,16,0.099,0.066,0.053,0.106,0.099,0.093,1,1
2695,21,2,192,0.497,0.325,0.054,95,62,10,0.217,0.092,42,18,0.099,0.066,0.048,0.106,0.109,0.093,0,1
2701,24,2,209,0.438,0.316,0.053,92,66,11,0.248,0.084,52,18,0.099,0.06,0.053,0.106,0.099,0.093,1,1
2708,27,2,173,0.461,0.268,0.048,80,46,8,0.187,0.072,32,12,0.109,0.06,0.053,0.116,0.099,0.102,1,1
2712,20,2,185,0.472,0.326,0.052,87,60,10,0.232,0.093,43,17,0.099,0.066,0.058,0.106,0.089,0.093,0,1
2713,21,2,186,0.462,0.275,0.054,86,51,10,0.217,0.073,40,14,0.099,0.066,0.048,0.116,0.089,0.102,0,0
2715,20,2,183,0.436,0.286,0.056,80,52,10,0.21,0.073,38,13,0.099,0.066,0.058,0.106,0.099,0.093,0,1
2717,28,2,209,0.513,0.274,0.057,107,57,12,0.201,0.08,42,17,0.109,0.066,0.048,0.106,0.089,0.093,1,1
2718,21,2,204,0.51,0.279,0.054,104,57,11,0.189,0.083,39,17,0.099,0.06,0.058,0.106,0.099,0.093,1,1
2720,20,2,206,0.527,0.276,0.051,109,57,11,0.197,0.073,41,15,0.099,0.073,0.053,0.098,0.099,0.083,1,1
2724,27,2,187,0.481,0.286,0.053,90,53,10,0.208,0.074,39,14,0.099,0.066,0.048,0.098,0.099,0.083,1,1
2727,25,2,181,0.449,0.272,0.057,81,49,10,0.204,0.072,37,13,0.099,0.06,0.053,0.116,0.099,0.102,1,1
2728,20,2,181,0.462,0.277,0.049,84,50,9,0.194,0.076,35,14,0.099,0.06,0.053,0.098,0.099,0.083,1,1
2730,23,2,200,0.518,0.292,0.05,104,58,10,0.223,0.077,45,15,0.099,0.066,0.048,0.106,0.099,0.093,1,1
2733,20,2,208,0.44,0.28,0.051,92,58,11,0.213,0.084,44,17,0.099,0.066,0.053,0.116,0.109,0.102,1,1
2736,20,2,210,0.463,0.278,0.049,97,58,10,0.183,0.081,38,17,0.109,0.06,0.048,0.116,0.099,0.102,1,1
2738,22,2,209,0.47,0.298,0.053,98,62,11,0.207,0.087,43,18,0.099,0.06,0.053,0.106,0.109,0.093,1,1
2741,25,2,181,0.52,0.289,0.053,94,52,10,0.206,0.085,37,15,0.089,0.066,0.048,0.106,0.109,0.093,0,1
2747,20,2,178,0.499,0.27,0.051,89,48,9,0.193,0.073,34,13,0.089,0.073,0.053,0.106,0.089,0.093,1,1
2750,23,2,187,0.523,0.327,0.047,98,61,9,0.236,0.083,44,16,0.099,0.066,0.048,0.106,0.109,0.093,1,1
2761,27,2,172,0.466,0.303,0.056,80,52,10,0.225,0.084,39,14,0.099,0.066,0.053,0.106,0.089,0.093,1,1
2776,29,2,174,0.517,0.296,0.055,90,52,10,0.232,0.085,40,15,0.109,0.066,0.053,0.106,0.099,0.093,0,1
2780,25,2,174,0.513,0.301,0.049,89,52,9,0.21,0.093,37,16,0.109,0.06,0.048,0.106,0.099,0.093,1,0
